板块,涨跌幅,amount,突破标的,相对强弱(X),动量加速度(Y),突破动能得分,1日先锋,核心中军
油气开采Ⅱ,-2.259980155339241,2026660167.0,0,-0.46846616696343646,0.947652483368126,5,*ST新潮 (+0.7%),中国海油 (12.8亿)
消费电子,-1.5833098028915416,90471994432.0,1,0.20820418548426312,1.1156347111649414,15,可川科技 (+10.0%),工业富联 (281.3亿)
渔业,-0.9649471518809423,317378632.0,0,0.8265668364948624,0.8656635699138148,5,獐子岛 (+0.3%),大湖股份 (1.1亿)
游戏Ⅱ,-1.968179965197184,10894470216.0,0,-0.1766659768213794,1.0220272048317842,5,名臣健康 (+3.8%),世纪华通 (23.7亿)
炼化及贸易,-0.7617490789114216,11724637840.0,1,1.029764909464383,1.0252747062951906,15,国际实业 (+10.1%),中国石油 (22.7亿)
焦炭Ⅱ,-2.349542791685649,929010052.0,0,-0.5580288033098444,0.9131585752354046,5,开滦股份 (+-1.1%),美锦能源 (2.5亿)
煤炭开采,-1.2195146159935601,9051202848.0,0,0.5719993723822445,1.0138304015694037,5,辽宁能源 (+3.6%),中国神华 (15.5亿)
照明设备Ⅱ,-1.018908696959128,1556472368.0,1,0.7726052914166768,0.9359794437432953,15,小崧股份 (+10.0%),立达信 (3.6亿)
燃气Ⅱ,0.07743873784718534,6488220286.0,0,1.86895272622299,0.9991086335007962,5,ST金鸿 (+5.0%),水发燃气 (13.4亿)
物流,-1.4240393904082833,5539338668.0,0,0.36747459796752135,0.9921166255362434,5,*ST原尚 (+5.0%),顺丰控股 (6.9亿)
特钢Ⅱ,-2.039925467233109,2316752344.0,0,-0.2484114788573042,0.9535683159370636,5,金洲管道 (+2.8%),金洲管道 (5.6亿)
环保设备Ⅱ,-3.16592927745104,9074834666.0,0,-1.3744152890752355,1.01394570930018,5,盛剑科技 (+2.4%),盈峰环境 (44.8亿)
环境治理,-1.2693993007218944,12782571372.0,2,0.5221146876539102,1.0290950147718345,25,侨银股份 (+10.0%),ST京蓝 (11.7亿)
玻璃玻纤,-0.7734021967610274,16176604120.0,1,1.0181117916147773,1.0395084538286568,15,耀皮玻璃 (+10.0%),中国巨石 (59.2亿)
生物制品,-2.399353046181347,4542736116.0,0,-0.6078390578055421,0.9833454754942723,5,*ST四环 (+0.3%),万泽股份 (13.8亿)
电力,-2.4621681861712177,135294820784.0,5,-0.670654197795413,1.1334301647977463,55,京能电力 (+10.0%),大唐发电 (145.2亿)
电子化学品Ⅱ,-2.1589703588760107,10974100752.0,0,-0.3674563705002061,1.0223492561452092,5,宏昌电子 (+1.0%),天通股份 (70.2亿)
电机Ⅱ,-2.3455137530962755,7542815124.0,1,-0.5539997647204709,1.005768716857708,15,星德胜 (+10.0%),卧龙电驱 (18.8亿)
电池,-3.2203878852306036,39785048624.0,1,-1.428873896854799,1.0793045364699534,15,蔚蓝锂芯 (+8.9%),天赐材料 (63.4亿)
