代码,名称,板块,相关概念/板块,概念匹配说明,概念库命中数,涨跌幅(%),3日涨幅(%),5日涨幅(%),增量倍数,今日成交额(亿),常态均额(亿),逻辑标签
300006,莱美药业,化学制药,化学制药、创新药进度整理,化学制药同池38只/热度425.3/领涨迪哲医药-U；创新药进度整理同池26只/热度302.3/领涨阳光诺和,1,5.27,2.89,8.01,1.46,2.08,1.42,强势放量突破
600258,首旅酒店,酒店餐饮,复苏消费概念,复苏消费概念同池21只/热度189.8/领涨新华百货,3,4.7,3.02,0.52,1.45,3.03,2.09,趋势放量异动
301368,丰立智能,通用设备,通用设备、人形机器人,通用设备同池4只/热度59.0/领涨铂力特；人形机器人同池4只/热度41.0/领涨富春染织,1,6.52,-0.21,1.89,1.45,2.35,1.61,强势放量突破
000403,派林生物,生物制品,生物制品,概念库未命中，回退到行业板块。,0,5.39,5.97,8.19,1.44,1.91,1.33,强势放量突破
300056,中创环保,环境治理,并购重组预期概念,并购重组预期概念同池6只/热度64.0/领涨跨境通,3,6.96,-0.26,2.4,1.42,1.93,1.36,强势放量突破
603127,昭衍新药,医疗服务,医疗服务,概念库未命中，回退到行业板块。,0,10.0,17.12,33.56,1.42,21.91,15.46,强势放量突破
688639,华恒生物,化学制品,合成生物,合成生物同池7只/热度84.3/领涨美诺华,1,10.34,6.64,6.58,1.42,1.82,1.28,强势放量突破
000722,湖南发展,电力,并购重组预期概念、电力,并购重组预期概念同池6只/热度64.0/领涨跨境通；电力同池5只/热度46.3/领涨三峡水利,1,9.99,9.09,11.73,1.41,2.27,1.61,强势放量突破
688506,百利天恒,生物制品,创新药进度整理,创新药进度整理同池26只/热度302.3/领涨阳光诺和,2,9.69,7.29,9.73,1.41,13.42,9.53,强势放量突破
002653,海思科,化学制药,化学制药、创新药进度整理,化学制药同池38只/热度425.3/领涨迪哲医药-U；创新药进度整理同池26只/热度302.3/领涨阳光诺和,1,9.45,6.92,12.44,1.41,15.67,11.13,强势放量突破
603486,科沃斯,小家电,人形机器人,人形机器人同池4只/热度41.0/领涨富春染织,1,5.26,2.94,6.12,1.4,4.11,2.93,强势放量突破
300043,星辉娱乐,游戏Ⅱ,出海,出海同池9只/热度95.6/领涨赛维时代,5,5.14,-15.34,-8.22,1.39,5.16,3.71,强势放量突破
600188,兖矿能源,煤炭开采,反内卷概念,反内卷概念同池7只/热度60.5/领涨首钢股份,4,5.2,11.4,12.02,1.39,15.35,11.06,强势放量突破
688578,艾力斯,化学制药,化学制药,化学制药同池38只/热度425.3/领涨迪哲医药-U,1,6.15,2.02,5.81,1.38,22.59,16.41,强势放量突破
688061,灿瑞科技,半导体,半导体,概念库未命中，回退到行业板块。,0,7.27,-7.25,1.65,1.38,1.89,1.37,强势放量突破
002440,闰土股份,化学制品,高股息、化学制品,高股息同池5只/热度43.4/领涨华联控股；化学制品同池3只/热度31.2/领涨莱茵生物,1,5.51,15.44,19.22,1.37,9.31,6.79,强势放量突破
002568,百润股份,非白酒,非白酒,概念库未命中，回退到行业板块。,0,5.19,4.34,11.36,1.37,4.11,3.01,强势放量突破
300436,广生堂,化学制药,化学制药、创新药进度整理,化学制药同池38只/热度425.3/领涨迪哲医药-U；创新药进度整理同池26只/热度302.3/领涨阳光诺和,1,6.09,5.67,9.32,1.37,14.36,10.46,强势放量突破
002294,信立泰,化学制药,化学制药、创新药进度整理,化学制药同池38只/热度396.6/领涨迪哲医药-U；创新药进度整理同池26只/热度302.3/领涨阳光诺和,2,6.39,4.09,7.36,1.37,21.31,15.52,强势放量突破
000959,首钢股份,普钢,地方国资、反内卷概念,地方国资同池8只/热度71.3/领涨东方新能；反内卷概念同池7只/热度56.5/领涨首钢股份,4,10.06,12.65,11.01,1.36,2.09,1.54,强势放量突破
002558,巨人网络,游戏Ⅱ,服务消费概念,服务消费概念同池12只/热度100.2/领涨巨人网络,2,10.01,0.0,5.57,1.36,42.56,31.38,强势放量突破
601918,新集能源,煤炭开采,煤炭开采,概念库未命中，回退到行业板块。,0,5.26,8.5,3.97,1.26,5.86,4.64,回调二波起涨
001317,三羊马,铁路公路,统一大市场,统一大市场同池4只/热度37.9/领涨三羊马,1,9.99,14.02,16.92,1.26,2.92,2.32,回调二波起涨
